lon,lat,alternaria_leaf_spot
108.436295,34.43644,1
108.94623,34.642586,1
108.267685,34.680305,1
108.98041,34.709254,1
108.98041,34.709254,1
109.02244,34.73033,1
108.96908,34.754726,1
108.9948,34.75906,1
108.9948,34.75906,1
108.9948,34.75906,1
108.95534,34.771072,1
108.983116,34.776478,1
108.983116,34.776478,1
108.97615,34.797348,1
108.97615,34.797348,1
108.97615,34.797348,1
108.97615,34.797348,1
108.90898,34.821465,1
108.90075,34.839485,1
108.89857,34.856106,1
108.798,34.887592,1
108.798,34.887592,1
108.798,34.887592,1
108.798,34.887592,1
108.85193,34.890705,1
108.87367,34.959167,1
108.8346,35.052082,1
108.8346,35.052082,1
109.03659,35.194183,1
110.61293,35.267723,1
110.50964,35.268826,1
110.50964,35.268826,1
110.50964,35.268826,1
110.50964,35.268826,1
110.50964,35.268826,1
110.498184,35.27365,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.54089,35.27874,1
110.56014,35.279655,1
110.527374,35.302406,1
110.527374,35.302406,1
110.527374,35.302406,1
110.524324,35.317446,1
110.540835,35.329487,1
110.82557,35.45105,1
119.50884,35.523197,1
109.58798,35.701912,1
109.58798,35.701912,1
109.58798,35.701912,1
109.58798,35.701912,1
109.44243,35.737373,1
109.55319,35.737488,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.46975,35.749626,1
109.44864,35.75595,1
109.44864,35.75595,1
109.44864,35.75595,1
109.44864,35.75595,1
109.44864,35.75595,1
109.44864,35.75595,1
109.44864,35.75595,1
109.44864,35.75595,1
109.444824,35.787866,1
107.739456,35.82702,1
109.537451,35.995356,1
107.98725,36.067112,1
107.851121,36.089415,1
110.35737,36.61924,1
110.127674,36.847792,1
110.127674,36.847792,1
110.07681,36.87656,1
120.34701,37.10485,1
120.858283,37.129781,1
120.845024,37.134724,1
120.87417,37.15441,1
119.95742,37.187477,1
120.780525,37.19418,1
120.6755,37.261154,1
120.6755,37.261154,1
120.75141,37.311123,1
120.75909,37.315777,1
120.75566,37.320675,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.81172,37.3393,1
120.82651,37.342625,1
120.83792,37.379906,1
120.83792,37.379906,1
110.32404,37.453285,1
120.89707,37.46943,1
120.9708,37.517994,1
120.79515,37.545406,1
120.834816,37.609047,1
110.44601,37.638645,1
120.83981,37.654873,1
120.93021,37.657986,1
120.53224,37.690422,1
120.53224,37.690422,1
121.778625,39.242299,1
121.813416,39.261833,1
98.64422,39.808018,1
127.02009,43.92364,1
